Processing radium.midi...
Track 0: 
Track 1: Xylophone
Note Start: 155, Note End: 3855, Note Name: D5, Velocity: 71
Note Start: 155, Note End: 3855, Note Name: D#5, Velocity: 70
Note Start: 155, Note End: 44763, Note Name: G5, Velocity: 68
Note Start: 155, Note End: 14950, Note Name: F5, Velocity: 66
Note Start: 181, Note End: 873, Note Name: F4, Velocity: 65
Note Start: 155, Note End: 3379, Note Name: F4, Velocity: 63
Note Start: 168, Note End: 13615, Note Name: F5, Velocity: 80
Note Start: 155, Note End: 14950, Note Name: F5, Velocity: 75
Note Start: 163, Note End: 46754, Note Name: A6, Velocity: 75
Note Start: 155, Note End: 47847, Note Name: A6, Velocity: 73
Note Start: 158, Note End: 21394, Note Name: A#6, Velocity: 72
Note Start: 155, Note End: 21719, Note Name: A#6, Velocity: 70
Note Start: 155, Note End: 14950, Note Name: F5, Velocity: 68
Note Start: 155, Note End: 14950, Note Name: F5, Velocity: 67
Note Start: 155, Note End: 41192, Note Name: F6, Velocity: 65
Note Start: 155, Note End: 41192, Note Name: F6, Velocity: 63
Note Start: 159, Note End: 21497, Note Name: G6, Velocity: 61
Note Start: 177, Note End: 19962, Note Name: G6, Velocity: 60
Note Start: 169, Note End: 20482, Note Name: G6, Velocity: 58
Note Start: 155, Note End: 21976, Note Name: G6, Velocity: 56
Note Start: 166, Note End: 46585, Note Name: A6, Velocity: 55
Note Start: 177, Note End: 45833, Note Name: A6, Velocity: 53
Note Start: 175, Note End: 46014, Note Name: A6, Velocity: 51
Note Start: 173, Note End: 46114, Note Name: A6, Velocity: 50
Note Start: 181, Note End: 45341, Note Name: A6, Velocity: 48
Note Start: 155, Note End: 47847, Note Name: A6, Velocity: 46
Note Start: 159, Note End: 1940, Note Name: B6, Velocity: 111
Note Start: 1, Note End: 20749, Note Name: B6, Velocity: 75
Note Start: 182, Note End: 19500, Note Name: C7, Velocity: 75
Note Start: 155, Note End: 22233, Note Name: C7, Velocity: 75
Note Start: 161, Note End: 13078, Note Name: C#6, Velocity: 76
Note Start: 155, Note End: 14067, Note Name: C#6, Velocity: 80
Note Start: 163, Note End: 21140, Note Name: C7, Velocity: 85
Note Start: 155, Note End: 22233, Note Name: C7, Velocity: 90
Note Start: 155, Note End: 12413, Note Name: C#5, Velocity: 114
Note Start: 1, Note End: 40563, Note Name: C7, Velocity: 95
Note Start: 155, Note End: 3855, Note Name: D#5, Velocity: 123
Note Start: 1, Note End: 40563, Note Name: C7, Velocity: 104
Note Start: 155, Note End: 47847, Note Name: A6, Velocity: 127
Note Start: 1, Note End: 12423, Note Name: A5, Velocity: 127
Note Start: 9, Note End: 14319, Note Name: A#5, Velocity: 127
Note Start: 1, Note End: 169, Note Name: D5, Velocity: 127
Note Start: 0, Note End: 168, Note Name: D#5, Velocity: 127
Note Start: 489, Note End: 16384, Note Name: A4, Velocity: 127
Note Start: 0, Note End: 36962, Note Name: A4, Velocity: 114
Note Start: 0, Note End: 5748, Note Name: A#4, Velocity: 114
Note Start: 0, Note End: 6427, Note Name: G#4, Velocity: 114
Note Start: 0, Note End: 5748, Note Name: A#4, Velocity: 114
Note Start: 0, Note End: 6427, Note Name: G#4, Velocity: 114
Note Start: 0, Note End: 5748, Note Name: A#4, Velocity: 114
Note Start: 0, Note End: 6427, Note Name: G#4, Velocity: 114
Note Start: 0, Note End: 5748, Note Name: A#4, Velocity: 114
Note Start: 0, Note End: 6427, Note Name: G#4, Velocity: 114
Note Start: 0, Note End: 5748, Note Name: A#4, Velocity: 114
Note Start: 0, Note End: 6427, Note Name: G#4, Velocity: 114
Note Start: 0, Note End: 5748, Note Name: A#4, Velocity: 114
Note Start: 0, Note End: 6427, Note Name: G#4, Velocity: 114
Note Start: 0, Note End: 5748, Note Name: A#4, Velocity: 114
Note Start: 0, Note End: 62597, Note Name: D6, Velocity: 110
Note Start: 21, Note End: 40565, Note Name: D#6, Velocity: 115
Note Start: 143, Note End: 45673, Note Name: D6, Velocity: 88
Note Start: 159, Note End: 43789, Note Name: D6, Velocity: 88
Note Start: 163, Note End: 43175, Note Name: D6, Velocity: 88
Note Start: 159, Note End: 43789, Note Name: D6, Velocity: 89
Note Start: 169, Note End: 42774, Note Name: D6, Velocity: 88
Note Start: 157, Note End: 44010, Note Name: D6, Velocity: 88
Note Start: 171, Note End: 42688, Note Name: D6, Velocity: 88
Note Start: 155, Note End: 44268, Note Name: D6, Velocity: 91
