Processing zeg2.midi...
Track 0: 
Note Start: 0, Note End: 34077, Note Name: F2, Velocity: 90
Note Start: 1, Note End: 28160, Note Name: G5, Velocity: 108
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 26
Note Start: 1, Note End: 30525, Note Name: A2, Velocity: 74
Note Start: 0, Note End: 22537, Note Name: C1, Velocity: 11
Note Start: 0, Note End: 7679, Note Name: G#1, Velocity: 14
Note Start: 0, Note End: 14851, Note Name: A#1, Velocity: 15
Note Start: 0, Note End: 14851, Note Name: D2, Velocity: 26
Note Start: 0, Note End: 28159, Note Name: G5, Velocity: 108
Note Start: 0, Note End: 38168, Note Name: B5, Velocity: 71
Note Start: 0, Note End: 7657, Note Name: C#6, Velocity: 85
Note Start: 0, Note End: 33119, Note Name: E4, Velocity: 47
Note Start: 0, Note End: 6633, Note Name: A4, Velocity: 47
Note Start: 0, Note End: 7145, Note Name: D#5, Velocity: 57
Note Start: 0, Note End: 14345, Note Name: C#3, Velocity: 71
Note Start: 0, Note End: 12836, Note Name: A3, Velocity: 81
Note Start: 0, Note End: 14386, Note Name: C4, Velocity: 79
Note Start: 0, Note End: 4073, Note Name: C#2, Velocity: 66
Note Start: 0, Note End: 4095, Note Name: G#2, Velocity: 80
Note Start: 0, Note End: 7657, Note Name: C#1, Velocity: 55
Note Start: 0, Note End: 7679, Note Name: G#1, Velocity: 69
Note Start: 2, Note End: 39494, Note Name: C3, Velocity: 30
Note Start: 11, Note End: 39503, Note Name: C3, Velocity: 31
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 30
Note Start: 1, Note End: 39493, Note Name: C3, Velocity: 28
Note Start: 2, Note End: 12034, Note Name: G4, Velocity: 108
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 29
Note Start: 3, Note End: 39495, Note Name: C3, Velocity: 30
Note Start: 12, Note End: 39504, Note Name: C3, Velocity: 29
Note Start: 4, Note End: 39496, Note Name: C3, Velocity: 34
Note Start: 7, Note End: 39499, Note Name: C3, Velocity: 31
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 31
Note Start: 5, Note End: 39497, Note Name: C3, Velocity: 31
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 32
Note Start: 7, Note End: 39499, Note Name: C3, Velocity: 33
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 31
Note Start: 4, Note End: 39496, Note Name: C3, Velocity: 29
Note Start: 3, Note End: 39495, Note Name: C3, Velocity: 31
Note Start: 8, Note End: 39500, Note Name: C3, Velocity: 31
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 34
Note Start: 20, Note End: 39512, Note Name: C3, Velocity: 39
Note Start: 17, Note End: 39509, Note Name: C3, Velocity: 38
Note Start: 15, Note End: 39507, Note Name: C3, Velocity: 39
Note Start: 3, Note End: 39495, Note Name: C3, Velocity: 40
Note Start: 2, Note End: 28161, Note Name: G#4, Velocity: 108
Note Start: 24, Note End: 39516, Note Name: C3, Velocity: 40
Note Start: 26, Note End: 39518, Note Name: C3, Velocity: 37
Note Start: 23, Note End: 39515, Note Name: C3, Velocity: 37
Note Start: 0, Note End: 39492, Note Name: C3, Velocity: 40
Note Start: 8, Note End: 12040, Note Name: F4, Velocity: 108
Note Start: 10, Note End: 39502, Note Name: C3, Velocity: 39
Note Start: 12, Note End: 39504, Note Name: C3, Velocity: 42
Note Start: 17, Note End: 39509, Note Name: C3, Velocity: 42
Note Start: 2, Note End: 39494, Note Name: C3, Velocity: 44
Note Start: 1, Note End: 12033, Note Name: G4, Velocity: 108
Note Start: 0, Note End: 22537, Note Name: C2, Velocity: 42
Note Start: 0, Note End: 16873, Note Name: D#2, Velocity: 42
Note Start: 0, Note End: 14873, Note Name: G2, Velocity: 52
Note Start: 0, Note End: 22537, Note Name: C1, Velocity: 55
Note Start: 0, Note End: 16873, Note Name: D#1, Velocity: 55
Note Start: 0, Note End: 14851, Note Name: G1, Velocity: 69
Note Start: 20, Note End: 39512, Note Name: C3, Velocity: 43
